Train Number,Train Name
12723,TELANGANA  EXP
20806,A P EXP
12724,TELANGANA EXP
12707,A P SMPRK KRNTI
54582,DLPC NLDM PASS
74992,DLPC UMB DEMU
15909,ABADH ASSAM EXP
95302,ABH CSTM FAST
95304,ABH CSTM FAST
95306,ABH CSTM FAST
95308,ABH CSTM FAST
95310,ABH CSTM FAST
95312,ABH CSTM FAST
95314,ABH CSTM FAST
95316,ABH CSTM FAST
95318,ABH CSTM FAST
95320,ABH CSTM FAST
95322,ABH DR FAST
95324,ABH CSTM FAST
95328,ABH CSTM FAST
95332,ABH CSTM FAST
95334,ABH CSTM FAST
95336,ABH CSTM FAST
96302,ABH CSTM LOCAL
96304,ABH CSTM LOCAL
96306,ABH CSTM LOCAL
96308,ABH CSTM LOCAL
96310,ABH CSTM LOCAL
96312,ABH CSTM LOCAL
96314,ABH CSTM LOCAL
96316,ABH CSTM LOCAL
96318,ABH CSTM LOCAL
96320,ABH CSTM LOCAL
96322,ABH CSTM LOCAL
96324,ABH CSTM LOCAL
96326,ABH CSTM LOCAL
96328,ABH CSTM LOCAL
96330,ABH CSTM LOCAL
96332,ABH CSTM LOCAL
96334,ABH CSTM LOCAL
95326,ABH CSTM FAST
95330,ABH CSTM FAST
68750,ABKP SDL MEMU
18242,ABKP DURG PAS EX
11266,ABKP MML EXPRESS
58702,ABKP SDL PASS
79438,ABR MSH DMU
54703,ABS JU PASSENGR
17409,ADB NED EXP
57552,ADB PAU PASS
57554,ADB PRLI  PASS
92003,ADH VRR FAST
90609,CCG VIRAR LOCAL
90707,ADH BSR FAST
90735,CCG BVI LOCAL
92025,ADH BSR FAST
90189,BVI BYR FAST
91093,ADH BSR LOCAL
90001,ADH BVI LOCAL
90035,MX BVI LOCAL
90675,ADH BYR FAST
91221,CCG BVI LOCAL
90623,CCG BVI FAST
91047,BVI VR LOCAL
92029,ADH BYR LOCAL
91115,CCG BVI LOCAL
90002,ADH CCG LOCAL
90030,BVI CCG LOCAL
90040,BYR CCG SEMI FAST
90068,BVI CCG LOCAL
90098,BSR DDR FAST
90104,BVI CCG LOCAL
90132,BVI CCG LOCAL
90160,BVI CCG LOCAL
90170,BVI CCG LOCAL
90176,ADH CCG LOCAL
90186,BVI CCG LOCAL
90192,ADH CCG LOCAL
90204,BA CCG LOCAL
90210,MDD CCG FAST
90224,ADH CCG LOCAL
90236,ADH CCG LOCAL
90244,MDD CCG FAST
90252,VIRAR CCG SEMI FAST
90266,BA CCG LOCAL
90278,ADH CCG LOCAL
90290,ADH CCG LOCAL
90304,ADH CCG LOCAL
90312,ADH CCG LOCAL
90322,ADH CCG LOCAL
90334,ADH CCG LOCAL
90342,ADH CCG LOCAL
90348,ADH CCG LOCAL
90362,ADH CCG LOCAL
90374,ADH CCG LOCAL
90380,ADH CCG LOCAL
90388,BVI CCG SEMI FAST
90394,BVI CCG LOCAL
90408,ADH CCG LOCAL
90418,ADH CCG LOCAL
90434,ADH CCG LOCAL
90446,ADH CCG LOCAL
90464,ADH CCG LOCAL
90476,ADH CCG LOCAL
90510,ADH CCG LOCAL
90520,ADH CCG LOCAL
90544,ADH CCG LOCAL
90570,BSR DDR FAST
90622,BVI CCG LOCAL
90636,BVI CCG LOCAL
90646,VIRAR CCG SEMI FAST
90662,ADH CCG LOCAL
90668,ADH CCG LOCAL
90696,VIRAR BVI LOCAL
90746,ADH CCG LOCAL
90774,ADH CCG LOCAL
90784,BVI CCG LOCAL
90794,ADH CCG LOCAL
90808,VIRAR CCG FAST
90824,BA CCG LOCAL
90838,ADH CCG LOCAL
90854,NSP ADH LOCAL
90862,BVI CCG FAST
90876,VIRAR BVI LOCAL
90900,VIRAR DDR FAST
90918,BVI CCG FAST
90936,ADH CCG LOCAL
90950,ADH CCG LOCAL
90956,ADH CCG LOCAL
90968,ADH CCG LOCAL
90992,BVI CCG SEMI FAST
90996,BVI CCG LOCAL
91004,VIRAR CCG SEMI FAST
91014,ADH CCG LOCAL
91020,VIRAR CCG SEMI FAST
91028,BVI CCG SEMI FAST
98702,ADH CSTM LOCAL
98704,ADH CSTM LOCAL
98706,ADH CSTM LOCAL
98708,ADH CSTM LOCAL
98710,ADH CSTM LOCAL
98712,ADH CSTM LOCAL
98714,ADH CSTM LOCAL
98716,ADH CSTM LOCAL
98718,ADH CSTM LOCAL
98720,ADH CSTM LOCAL
98722,ADH CSTM LOCAL
98724,ADH CSTM LOCAL
98726,GMN CSTM LOCAL
98728,GMN CSTM LOCAL
98730,GMN CSTM LOCAL
98732,GMN CSTM LOCAL
98734,GMN CSTM LOCAL
98736,GMN CSTM LOCAL
98738,GMN CSTM LOCAL
98740,GMN CSTM LOCAL
98742,GMN CSTM LOCAL
98744,GMN CSTM LOCAL
98746,GMN CSTM LOCAL
98748,GMN CSTM LOCAL
98750,GMN CSTM LOCAL
98752,GMN CSTM LOCAL
98754,GMN CSTM LOCAL
98756,GMN CSTM LOCAL
98760,GMN CSTM LOCAL
98762,GMN CSTM LOCAL
98764,GMN CSTM LOCAL
98766,GMN CSTM LOCAL
98768,ADH CSTM LOCAL
98770,ADH CSTM LOCAL
98772,ADH CSTM LOCAL
98774,ADH CSTM LOCAL
98776,ADH CSTM LOCAL
98778,ADH CSTM LOCAL
98780,ADH CSTM LOCAL
98782,ADH CSTM LOCAL
98784,ADH CSTM LOCAL
90251,ADH NSP LOCAL
91139,CCG VR FAST
91171,CCG BVI LOCAL
98900,ADH PNVL LOCAL
98902,ADH PNVL LOCAL
98904,ADH PNVL LOCAL
98906,ADH PNVL LOCAL
98908,ADH PNVL LOCAL
98910,ADH PNVL LOCAL
98912,ADH PNVL LOCAL
98914,ADH PNVL LOCAL
98916,ADH PNVL LOCAL
90007,BA VR LOCAL
90027,CCG BVI LOCAL
90149,BA VR LOCAL
90309,ADH VR LOCAL
90395,ADH VR LOCAL
90487,ADH VR LOCAL
90519,ADH VR LOCAL
90543,ADH VR LOCAL
90709,CCG VIRAR LOCAL
90741,ADH BSR SEMI FAST
90761,DDR VIRAR FAST
90795,ADH VR LOCAL
90829,BVI VR LOCAL
90973,BA VIRAR LOCAL
