,Station Names,Station Codes,Latitude,Longitude,Pincode
0,A N DEV NAGAR,ACND,26.7753° N,82.1575° E,224001
1,ABADA,ABB,22.5488° N,88.2035° E,711313
2,ABHAIPUR,AHA,25.2167° N,86.3206° E,811112
3,ABHANPUR JN,AVP,21.0529° N,81.7441° E,493661
4,ABHAYAPURI ASAM,AYU,26.3589° N,90.6485° E,783384
5,ABOHAR,ABS,30.1469° N,74.2008° E,152116
6,ABU ROAD,ABR,24.4641° N,72.7718° E,307026
7,ABUTARA,ABW,26.0623° N,89.5301° E,736168
8,ACHALDA,ULD,26.7155° N,79.4165° E,206241
9,ACHALGANJ,ACH,26.4410° N,80.5445° E,209801
10,ACHALPUR,ELP,21.2576° N,77.5087° E,444806
11,ACHARAPAKKAM,ACK,12.4077° N,79.8170° E,603301
12,ACHEGAON,ACG,20.9710° N,75.9202° E,425308
13,ACHHNERA JN,AH,,,283101
14,ADAPUR,ADX,26.9253° N,84.9418° E,845301
15,ADARI ROAD,ADE,20.9872° N,70.3309° E,362255
16,ADARKI,AKI,17.9217° N,74.2183° E,415521
17,ADARSHNAGAR,AHO,28.7193° N,77.1736° E,314001
18,ADAS ROAD,ADD,22.4870° N,73.0338° E,388305
19,ADAVALI,ADVI,16.9217° N,73.5927° E,416712
20,ADDERI,AEX,13.9547° N,75.3575° E,400053
21,ADESAR,AAR,23.5581° N,70.9814° E,370155
22,ADGAON BUZURG,ABZ,21.1278° N,76.9437° E,444126
23,ADHARTAL,ADTL,23.1991° N,79.9474° E,482004
24,ADHICHCHANUR,ACN,12.0434° N,79.1886° E,605758
25,ADHIKARI,ADQ,26.5768° N,88.1698° E,734427
26,ADHINPUR,AHZ,27.1711° N,82.2787° E,227816
27,ADHYATMIK NAGAR,AKNR,28.6767° N,77.5008° E,201015
28,ADI SAPTAGRAM,ADST,22.9606° N,88.3799° E,712502
29,ADICHUNCHANGIRI,ACCI,13.0243° N,76.7445° E,571418
30,ADIHALLI,ADHL,13.2893° N,76.3319° E,573103
31,ADILABAD,ADB,19.6641° N,78.5320° E,504001
32,ADINA,ADF,25.1374° N,88.1523° E,732128
33,ADIPUR,AI,23.0732° N,70.0881° E,370205
34,ADITPARA,APQ,21.6881° N,69.6795° E,831013
35,ADITYAPUR,ADTP,22.7866° N,86.1660° E,831013
36,ADIYAKKAMUNGALM,AYM,10.7613° N,79.6769° E,611101
37,ADONI,AD,15.6319° N,77.2759° E,518301
38,ADRA JN,ADRA,,,723121
39,ADRAJ MOTI,AJM,23.2643° N,72.5737° E,382640
40,ADRSH NGR DELHI,ANDI,28.7193° N,77.1736° E,110033
41,ADUTURAI,ADT,11.0140° N,79.4811° E,612101
42,AGARAM SIBBANDI,AGM,12.3923° N,79.0981° E,606802
43,AGARPARA,AGP,22.6834° N,88.3931° E,700109
44,AGARTALA,AGTL,23.8315° N,91.2868° E,799003
45,AGAS,AGAS,22.4884° N,72.8781° E,388130
