Name,Pincode
ABOHAR,152116
ADESAR,370155
ADRSH NGR DELHI,110033
AGASTIYAMPALLI,
AJAKOLLU,509110
AJANTI,445102
AJWA,
ALAL,
ALAPADU,521340
ALGAWAN,
ALIYABAD,
ALLEPPEY,
AMARAVATHI CLNY,
AMARPURA RATHAN,335803
AMBALAPPUZHA,688561
AMBAV,388307
AMGAON,441902
AMILA,276404
AMOLWA,845455
AMRAVATI,
ANANDTANDAVPUR,609103
ANDAMPALIAM,606804
ANGADI,
ANK MMR DIRECT,
ANKOLA,
ANTROLI,394150
ANUPALEM,522412
ARARIYA,
ARAVALLI,534230
ASAKALATTUR,606304
ASAN,277304
ASHTI,414203
ASRANADA,
ASWANI HALT,
ATHMAL GOLA,803211
ATLADARA,390012
AUVANESWSAREM,
BABA SODHALNAGR,
BABHNAN,
BABINA,284401
BACHAR,391244
BADLA GHAT,851205
BAGNAN,711303
BAHERIYA ROAD,470001
BAIHATA,
BAIJNATH ANDOLI,
BAISWARA,853201
BAJALTA,180017
BAKROL,
BALDANA ROAD,
BALEL PIPARIYA,365620
BALLY,
BAMANGRAM,733134
BAMHANI P H,441807
BAMLA,127021
BANESWAR,736133
BANGAIN,
BANGARI,845429
BANI,184206
BANIYA SANDA DH,
BANKAT,276125
BANSKHO,303305
BANTVA,- 362620
BAR,306105
BARADIYA,362130
BARBERA,835201
BARDHANA HALT,
BAREILLY CITY,
BARGOLAI,
BARH,803213
BARHARA,802311
BARHARAGANI,273402
BARHRAGRAM,
BARI SADRI,312403
BARODA HOUSE,110001
BARSANA,281405
BASBARI,
BATALA SUGAR ML,143506
BB ELPHNSTNE RD,
BB MHDALI RD CB,
BBY COTTON GREN,
BEAS,
BEDAG,416410
BELKHERA,
BELUR,573115
BENDI,
BEVINAHALU,572135
BHACHHBAR,385320
BHAGWANPURA,451441
BHAJERA,301028
BHAKTI NAGAR,: 734007
BHARAT KUP,210202
BHARATHAPUZHA,678572
BHARUR,148001
BHATGAON,492015
BHIKAMKOR,342303
BHIKHAMPUR,221403
BHILAI,
BHIMADOLU,534425
BHIMRANA,361345
BHIMSEN,208020
BHIRA KHERI,262901
BHIRINGI,
BHOJASAR,342311
BHOMA,480990
BHONE,425412
BHONGAON,205262
BHUDPUR,250623
BIASPIND,144302
BIRATI,
BIRNAGAR,
BIRPUSHATTAMPUR,761018
BISHANPUR HRYNA,123501
BISHESHWARGANJ,271821
BMBY GIRGAUM CB,
BMBY MAHIM CBO,
BMBY MAHIM JN,: 400016
BMBY MARINE LNS,400005
BMBY MATUNGA RD,400019
BODHAN,
BODWAD,425310
BOKARO STL CITY,
BOMBAY GO CB,
BOMBAY GR,
BOMBAY KC,
BONDAPALLE,535260
BONGAIGAON,
BORGAON,480106
BRAYLA CHAURASI,
BRIDGMANGANJ,
BURAKAYALAKOTA,517351
BURJ MOHAR,152116
C BABUSAMUDRAM,
C RLY QUOTA,
C SHAHUMHARAJ T,
C SHIVAJI MAH T,
C SHIVAJI MAH T,
CANNANORE SOUTH,
CHADOTAR,385001
CHAIBASA,833201
CHAK KALAN,144042
CHAKERI,
CHALALA,365630
CHAMRAURA,242307
CHANDAR,828134
CHANDI MANDIR,134107
CHANDISAR,385510
CHANDNI,110006
CHANDRAGIRI,517101
CHANDRAGIRI KOP,
