Station Names,Station Codes,Latitude,Longitude
A N DEV NAGAR,ACND,26.7753° N,82.1575° E
ABADA,ABB,22.5488° N,88.2035° E
ABHAIPUR,AHA,25.2167° N,86.3206° E
ABHANPUR JN,AVP,21.0529° N,81.7441° E
ABHAYAPURI ASAM,AYU,26.3589° N,90.6485° E
ABOHAR,ABS,30.1469° N,74.2008° E
ABU ROAD,ABR,24.4641° N,72.7718° E
ABUTARA,ABW,26.0623° N,89.5301° E
ACHALDA,ULD,26.7155° N,79.4165° E
ACHALGANJ,ACH,26.4410° N,80.5445° E
ACHALPUR,ELP,21.2576° N,77.5087° E
ACHARAPAKKAM,ACK,12.4077° N,79.8170° E
ACHEGAON,ACG,20.9710° N,75.9202° E
ACHHNERA JN,AH,null,null
ADAPUR,ADX,26.9253° N,84.9418° E
ADARI ROAD,ADE,20.9872° N,70.3309° E
ADARKI,AKI,17.9217° N,74.2183° E
ADARSHNAGAR,AHO,28.7193° N,77.1736° E
ADAS ROAD,ADD,22.4870° N,73.0338° E
ADAVALI,ADVI,16.9217° N,73.5927° E
ADDERI,AEX,13.9547° N,75.3575° E
ADESAR,AAR,23.5581° N,70.9814° E
ADGAON BUZURG,ABZ,21.1278° N,76.9437° E
ADHARTAL,ADTL,23.1991° N,79.9474° E
ADHICHCHANUR,ACN,12.0434° N,79.1886° E
ADHIKARI,ADQ,26.5768° N,88.1698° E
ADHINPUR,AHZ,27.1711° N,82.2787° E
ADHYATMIK NAGAR,AKNR,28.6767° N,77.5008° E
ADI SAPTAGRAM,ADST,22.9606° N,88.3799° E
ADICHUNCHANGIRI,ACCI,13.0243° N,76.7445° E
ADIHALLI,ADHL,13.2893° N,76.3319° E
ADILABAD,ADB,19.6641° N,78.5320° E
ADINA,ADF,25.1374° N,88.1523° E
ADIPUR,AI,23.0732° N,70.0881° E
ADITPARA,APQ,21.6881° N,69.6795° E
ADITYAPUR,ADTP,22.7866° N,86.1660° E
ADIYAKKAMUNGALM,AYM,10.7613° N,79.6769° E
ADONI,AD,15.6319° N,77.2759° E
ADRA JN,ADRA,null,null
ADRAJ MOTI,AJM,23.2643° N,72.5737° E
ADRSH NGR DELHI,ANDI,28.7193° N,77.1736° E
ADUTURAI,ADT,11.0140° N,79.4811° E
AGARAM SIBBANDI,AGM,12.3923° N,79.0981° E
AGARPARA,AGP,22.6834° N,88.3931° E
AGARTALA,AGTL,23.8315° N,91.2868° E
AGAS,AGAS,22.4884° N,72.8781° E
AGASOD,AGD,24.2799° N,78.1735° E
AGASTIYAMPALLI,AGX,null,null
AGHWANPUR,AWP,28.9960° N,77.9974° E
AGOMONI,AGMN,26.1993° N,89.7861° E
AGORI KHAS,AGY,24.5470° N,82.9582° E
AGRA CANTT,AGC,27.1590° N,77.9906° E
AGRA CITY,AGA,27.1767° N,78.0081° E
AGRA FORT,AF,27.1795° N,78.0211° E
AGRADWIP,AGAE,23.5954° N,88.2558° E
AGRAN DHULGAON,AGDL,16.9661° N,74.9253° E
AGSAULI,AUL,27.7332° N,78.4731° E
AGTHORI,AGT,26.1985° N,91.6860° E
AHALYAPUR,AHLR,24.5401° N,87.7394° E
AHERA HALT,AHQ,null,null
AHERWADI,AHD,17.5101° N,75.9739° E
AHIMANPUR,AHM,25.2514° N,82.5213° E
AHIRAN,AHN,24.5182° N,88.0264° E
AHIRAULI,AHU,25.4395° N,82.9596° E
AHJU,AHJU,32.0233° N,76.7041° E
AHMADGARH,AHH,30.6796° N,75.8243° E
AHMADNAGAR,ANG,19.0948° N,74.7480° E
AHMADPUR JN,AMP,23.8322° N,87.6930° E
AHMEDABAD JN,ADI,23.0267° N,72.6009° E
AHMEDABAD MG,ADIJ,null,null
AHRAURA ROAD,ARW,25.1965° N,83.0196° E
AILAM,AILM,29.2768° N,77.2944° E
AISHBAGH,ASH,26.8384° N,80.9063° E
AIT,AIT,25.8936° N,79.2410° E
AITHAL,ATMO,29.8138° N,78.0381° E
AIYANAPURAM,AYN,null,null
AJAIBPUR,AJR,26.9918° N,79.4015° E
AJAKOLLU,AJK,16.3216° N,77.8643° E
AJANTI,ANI,20.5329° N,75.7502° E
AJARAKA,AIA,27.9593° N,76.5575° E
AJGAIN,AJ,26.6151° N,80.6258° E
AJHAI,AJH,27.6362° N,77.5581° E
AJIT,AJIT,19.1955° N,72.9556° E
AJIT KHERI,AJKI,null,null
AJITGILL MATTA,AJTM,30.4827° N,74.8640° E
AJITWAL,AJL,30.8131° N,75.3383° E
AJJAMPUR,AJP,13.7273° N,76.0058° E
AJMER JN,AII,26.4571° N,74.6372° E
AJNI,AJNI,21.1270° N,79.0825° E
AJNOD,AJN,22.9398° N,75.7531° E
AJWA,AJWA,26.6157° N,82.9676° E
AKAIPUR HALT,AKIP,null,null
AKALKOT ROAD,AKOR,17.4505° N,76.1388° E
AKALTARA,AKT,22.0245° N,82.4238° E
AKANAPET,AKE,18.1021° N,78.3980° E
AKASHI,AKZ,23.4033° N,84.8303° E
AKATHUMURI,AMY,8.7030° N,76.7582° E
AKBARGANJ,AKJ,27.5432° N,80.7519° E
AKBARNAGAR,AKN,25.2360° N,86.8421° E
AKBARPUR,ABP,26.4270° N,82.5331° E
AKIVIDU,AKVD,16.5823° N,81.3784° E
AKKAMPET,AKAT,18.0165° N,79.6970° E
AKKARAIPPATTI,API,11.4709° N,78.0616° E
AKKIHEBBAIU,AKK,12.6227° N,76.3898° E
AKKURTI,AKY,13.7971° N,79.6688° E
AKODIA,AKD,23.3814° N,76.6037° E
AKOLA JN,AK,20.7228° N,77.0051° E
AKOLNER,AKR,18.9859° N,74.6554° E
AKORA,AKW,25.6000° N,71.1833° E
AKOT,AKOT,21.0973° N,77.0536° E
AKRA,AKRA,22.5227° N,88.2525° E
AKSHAYWAT R NGR,AYRN,null,null
AKURDI,AKRD,18.6505° N,73.7786° E
ALAHABAD CHEOKI,ACOI,null,null
